"","copy_col","reviewer","title","flat_title","first_release_year","all_release_year","platform","flat_platform","uv_index","uv_title","uv_raw_title","uv_first_release_year","uv_publisher","uv_developer","uv_platform","gb_index","gb_title","gb_raw_title","gb_first_release_year","gb_platform","is_duplicate","is_sampled","target_platform"
"1","Nim----1947----PLATO","Brian","Nim","nim",1947,"1947----1983----1984----1989----2004","Atom----DEC PDP-1----MicroBee----MS-DOS----OS/2----PC----PLATO----VG5000µ----VIC-20----ZX 81----ZX Spectrum","atom----dec pdp-1----microbee----ms-dos----os/2----pc----plato----vg5000µ----vic-20----zx 81----zx spectrum",42714,"nim","nim----Nim----NIM----NIM (NIMROD)",1947,"author----Cascade Games----E. Witt----Ferranti----Honeysoft----U.T.S.----University of Illinois----Vic-Soft----VIFI Nathan","Computer Room Systems----Ferranti","Atom----DEC PDP-1----MicroBee----MS-DOS----OS/2----PLATO----VG5000µ----VIC-20----ZX 81----ZX Spectrum",27379,"Nim","Nim",2004,"PC",FALSE,TRUE,"PLATO"
"2","OXO----1952----Linux/Unix","Kameron","OXO","oxo",1952,"1952----1990----2002","Amstrad CPC----BeOS----EDSAC----Linux/Unix","amstrad cpc----beos----edsac----linux/unix",44356,"Oxo","Oxo----OXO----OXO (Noughts and Crosses)",1952,"Cambridge University----Dino / Scull PD----University of Warwick","University of Warwick","Amstrad CPC----BeOS----EDSAC----Linux/Unix",28326,"OXO","OXO",1952,NA,FALSE,TRUE,"Linux/Unix"
"3","Tennis for Two----1958----Arcade","Kate","Tennis for Two","tennis for 2",1958,"1958----2005","Arcade----Windows","arcade----windows",60851,"Tennis for Two","Tennis for Two",1958,"The Gamer\'s Quarter----USA Federal Government","Brookhaven National Laboratory","Arcade----Windows",39200,"Tennis for Two","Tennis for Two",1958,NA,FALSE,TRUE,"Arcade"
"4","Mouse in the Maze----1959----PC","Sam","Mouse in the Maze","mouse in the maze",1959,"1959","PC","pc",NA,NA,NA,NA,NA,NA,NA,25849,"Mouse in the Maze","Mouse in the Maze",1959,"PC",FALSE,TRUE,"PC"
"5","Spacewar!----1962----DEC PDP-1","Brian","Spacewar!","spacewar!",1962,"1962","DEC PDP-1","dec pdp-1",56331,"Spacewar!","Spacewar!",1962,"Massachussetts Institute of Technology","Massachussetts Institute of Technology","DEC PDP-1",36133,"Spacewar!","Spacewar!",1962,NA,FALSE,TRUE,"DEC PDP-1"
"6","Duck Hunt----1969----ARC","Kameron","Duck Hunt","duck hunt",1969,"1969----1984----1986----2004","ARC----Arcade----Mac----MSX----NES----WIIU","arc----arcade----mac----msx----nes----wiiu",19176,"Duck Hunt","Duck Hunt----Duck Hunt (<U+30C0><U+30C3><U+30AF><U+30CF><U+30F3><U+30C8>)",1984,"Karoshi Corporation----Nintendo----Nordic Software","Intelligent Systems----Nordic Software","Arcade----Mac----MSX----NES",12261,"Duck Hunt","Duck Hunt",1969,"ARC----MSX----NES----WIIU",FALSE,TRUE,"ARC"
"7","Space Travel----1969----Linux/Unix","Kate","Space Travel","space travel",1969,"1969","Linux/Unix","linux/unix",56241,"Space Travel","Space Travel",1969,"AT&T",NA,"Linux/Unix",NA,NA,NA,NA,NA,FALSE,TRUE,"Linux/Unix"
"8","Civilization----1971----PS1","Sam","Civilization","civilization",1971,"1971----1991----1992----1993----1994----1996----2006","Amiga----Amiga AGA----Atari Falcon----Atari ST----DEC PDP-1----Linux/Unix----Mac----MS-DOS----N-Gage----PC-9801----PS1----SNES----Win3.1","amiga----amiga aga----atari falcon----atari st----dec pdp-1----linux/unix----mac----ms-dos----n-gage----pc-9801----ps1----snes----win3.1",12649,"Civilization","Civilization----Civilization (<U+30B7><U+30F4><U+30A3><U+30E9><U+30A4><U+30BC><U+30FC><U+30B7><U+30E7><U+30F3>)----Civilization (Empire)----Civilization (Sid Meier's Civilization)",1971,"Asmik----Atari----Harvard University----Microprose----Microprose Japan----MPS----Software Demon----VEX","Gryphondale Studios----Harvard University----Microprose----MPS Labs","Amiga----Amiga AGA----Atari Falcon----Atari ST----DEC PDP-1----Linux/Unix----Mac----MS-DOS----N-Gage----PC-9801----PS1----SNES----Win3.1",NA,NA,NA,NA,NA,FALSE,TRUE,"PS1"
"9","Computer Space----1971----Arcade","Brian","Computer Space","computer space",1971,"1971----1981","Apple IIe----ARC----Arcade","apple iie----arc----arcade",13507,"Computer Space","Computer Space",1971,"Nutting Associates----Softside",NA,"Apple IIe----Arcade",8388,"Computer Space","Computer Space",1971,"ARC",FALSE,TRUE,"Arcade"
"10","Galaxy Game----1971----Arcade","Kameron","Galaxy Game","galaxy game",1971,"1971","ARC----Arcade","arc----arcade",24456,"Galaxy Game","Galaxy Game",1971,"Computer Recreations","Computer Recreations","Arcade",15744,"Galaxy Game","Galaxy Game",1971,"ARC",FALSE,TRUE,"Arcade"
